,name,address,phone number,url,hours,reviews,links
0,ESCAPE ROOM Koramangala (Previously Mystery junkies),"12, 3rd Floor Pragati Mansion, 1st Cross Rd, 5th Block, Koramangala, Karnataka 560034",076763 72273,https://www.escapemgm.com/,⋅ 10:30 pm ⋅ Opens 11 am Tue,"2,982 reviews",https://www.google.com/maps/place/ESCAPE+ROOM+Koramangala+%28Previously+Mystery+junkies%29/data=!4m7!3m6!1s0x3bae145acf9b6ee5:0x9226131c8ce8d60d!8m2!3d12.9335667!4d77.6219326!16s%2Fg%2F11c58hrd4g!19sChIJ5W6bz1oUrjsRDdbojBwTJpI?authuser=0&hl=en&rclk=1
1,"Mystery Rooms - Indira Nagar, Bangalore (OFFICIAL Escape Rooms)","2nd floor, 1133, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560037",095991 89424,https://www.mysteryrooms.in/,⋅ Closes 11 pm,"2,221 reviews","https://www.google.com/maps/place/Mystery+Rooms+-+Indira+Nagar,+Bangalore+%28OFFICIAL+Escape+Rooms%29/data=!4m7!3m6!1s0x3bae16a7f9da407f:0xf56b58069e071a2f!8m2!3d12.9696261!4d77.6415861!16s%2Fg%2F11c6cjb3zh!19sChIJf0Da-acWrjsRLxoHngZYa_U?authuser=0&hl=en&rclk=1"
2,Breakout® Escape Rooms | Whitefield | #1 Escape Room in Bangalore,"No.7, Prime Square, 3rd floor, Block 4, Whitefield Main Rd, Bengaluru, Karnataka 560066",097423 86781,http://breakout.in/,⋅ 10:30 pm ⋅ Opens 1 pm Tue,783 reviews,https://www.google.com/maps/place/Breakout%C2%AE+Escape+Rooms+%7C+Whitefield+%7C+%231+Escape+Room+in+Bangalore/data=!4m7!3m6!1s0x3bae13ec5ee79a2f:0xe88fe550228be9bd!8m2!3d12.9727738!4d77.7505416!16s%2Fg%2F11kb7g6f3w!19sChIJL5rnXuwTrjsRvemLIlDlj-g?authuser=0&hl=en&rclk=1
3,Breakout® Escape Rooms | Koramangala | #1 Escape room in Bangalore,"1st Floor, #27, NMR, 100 Feet Road, Intermediate Ring Rd, Koramangala, Bengaluru, Karnataka 560047",080 6849 4129,https://breakout.in/,⋅ 10 pm ⋅ Opens 11 am Tue,"8,962 reviews",https://www.google.com/maps/place/Breakout%C2%AE+Escape+Rooms+%7C+Koramangala+%7C+%231+Escape+room+in+Bangalore/data=!4m7!3m6!1s0x3bae1469d7d4ce3b:0xda096cec2c0d2036!8m2!3d12.9382814!4d77.6305107!16s%2Fg%2F11b708llfh!19sChIJO87U12kUrjsRNiANLOxsCdo?authuser=0&hl=en&rclk=1
4,"Mystery Rooms - Whitefield, Bangalore (Escape Rooms with Live Actor)","HCS Complex, Main Borewell Road 3rd Cross, Corner, Whitefield Main Rd, Bengaluru, Karnataka 560066",095991 89424,https://www.mysteryrooms.in/bangalore/,⋅ Closes 11 pm,301 reviews,"https://www.google.com/maps/place/Mystery+Rooms+-+Whitefield,+Bangalore+%28Escape+Rooms+with+Live+Actor%29/data=!4m7!3m6!1s0x3bae0dd340744851:0xf5da9c3e65ece2d6!8m2!3d12.9684746!4d77.7456955!16s%2Fg%2F11y1hqp489!19sChIJUUh0QNMNrjsR1uLsZT6c2vU?authuser=0&hl=en&rclk=1"
5,"Mystery Rooms - Indira Nagar, Bangalore (OFFICIAL Escape Rooms)","2nd floor, 1133, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560037",095991 89424,https://www.mysteryrooms.in/,⋅ Closes 11 pm,"2,221 reviews","https://www.google.com/maps/place/Mystery+Rooms+-+Indira+Nagar,+Bangalore+%28OFFICIAL+Escape+Rooms%29/data=!4m7!3m6!1s0x3bae16a7f9da407f:0xf56b58069e071a2f!8m2!3d12.9696261!4d77.6415861!16s%2Fg%2F11c6cjb3zh!19sChIJf0Da-acWrjsRLxoHngZYa_U?authuser=0&hl=en&rclk=1"
6,ResQRoom Erode,"157/9, Palayapalayam Pirivu, Perundurai Rd, Erode, Tamil Nadu 638011",073052 56270,https://www.resqroom.com/,⋅ 10 pm ⋅ Opens 11 am Tue,264 reviews,https://www.google.com/maps/place/ResQRoom+Erode/data=!4m7!3m6!1s0x3ba96f9757abdebd:0xcf79bc4355ead6a8!8m2!3d11.3282057!4d77.696534!16s%2Fg%2F11t8bzrq80!19sChIJvd6rV5dvqTsRqNbqVUO8ec8?authuser=0&hl=en&rclk=1
7,Mystery Rooms Chennai - OFFICIAL Escape Rooms,"24, 2nd Flr, College Rd, above Kora), BBCL Magnum, Nungambakkam, Chennai, Tamil Nadu 600006",095991 89425,http://www.mysteryrooms.in/,⋅ Closes 11 pm,"1,445 reviews",https://www.google.com/maps/place/Mystery+Rooms+Chennai+-+OFFICIAL+Escape+Rooms/data=!4m7!3m6!1s0x3a52666e43394997:0x243af7c7a95cfd08!8m2!3d13.0677954!4d80.2472212!16s%2Fg%2F11ggbl_j4r!19sChIJl0k5Q25mUjoRCP1cqcf3OiQ?authuser=0&hl=en&rclk=1
8,Breakthru - The Real Escape Room,"11/6, Ground floor, College Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600034",098845 69885,https://breakthru.fun/,⋅ 10 pm ⋅ Opens 11 am Tue,742 reviews,https://www.google.com/maps/place/Breakthru+-+The+Real+Escape+Room/data=!4m7!3m6!1s0x3a5267cd23f5ea33:0xaaa726e2bef8657b!8m2!3d13.0672106!4d80.253574!16s%2Fg%2F11fm15b8yn!19sChIJM-r1I81nUjoRe2X4vuImp6o?authuser=0&hl=en&rclk=1
9,Freeing India,"123, Ispahani Centre, Nungambakkam High Rd, Chennai, Tamil Nadu 600034",044 4230 0344,http://www.freeingindia.in/,⋅ 10 pm ⋅ Opens 10 am Tue,924 reviews,https://www.google.com/maps/place/Freeing+India/data=!4m7!3m6!1s0x3a52664171419e1f:0xbd06a8796bd2ff1f!8m2!3d13.0552914!4d80.2498353!16s%2Fg%2F11b6glv39w!19sChIJH55BcUFmUjoRH__Sa3moBr0?authuser=0&hl=en&rclk=1
